Date,VOO&BRK%,VOO&BRK$,EstvWld%,EstvWld$,Cryptic%,Cryptic$
2023-04-22,6.08,8.51,-0.25,9.63,-1.0,-24.25
2023-04-24,6.56,9.08,-0.44,2.17,-1.05,-27.19
2023-04-25,5.16,5.04,-0.55,6.74,-0.93,-23.75
2023-04-26,3.4,1.64,-0.56,2.75,-0.86,-19.8
2023-04-27,6.49,8.82,-0.45,12.0,-0.85,-20.04
2023-04-28,8.55,13.72,-0.4,15.25,-0.89,-22.12
2023-05-01,8.58,12.65,-0.42,10.28,-1.06,-27.96
2023-05-02,4.54,7.27,-0.8,0.2,-1.0,-25.03
2023-05-05,4.63,8.6,0.05,33.27,-0.85,-15.0
2023-05-07,4.63,8.6,0.05,33.27,-0.98,-21.1
2023-05-08,5.09,9.2,0.23,42.44,-1.21,-29.37
2023-05-17,4.66,8.07,1.66,93.9,-1.27,-33.27
